timestamp,latency_ms
1770217157.0736299,11588.380098342896
1770217157.1634386,11678.188800811768
1770217157.2539697,11768.719911575317
1770217157.3534682,11868.218421936035
1770217157.4437313,11958.481550216675
1770217157.533848,12048.598289489746
1770217157.6336832,12148.433446884155
1770217157.7238288,12238.579034805298
1770217157.814063,12328.813314437866
1770217157.9038093,12418.559551239014
1770217158.0038161,12518.566370010376
1770217158.0938993,12608.649492263794
1770217158.1839356,12698.685884475708
1770217158.2834518,12798.20203781128
1770217158.3737464,12888.49663734436
1770217158.4637299,12978.480100631714
1770217158.5540001,13068.750381469727
1770217158.6538339,13168.584108352661
1770217158.7448442,13259.594440460205
1770217158.83358,13348.33025932312
1770217158.9335675,13448.317766189575
1770217159.0241919,13538.942098617554
1770217159.113481,13628.231287002563
1770217159.2043881,13719.138383865356
1770217159.3040655,13818.8157081604
1770217159.3940167,13908.766984939575
1770217159.4836047,13998.3549118042
1770217159.5838802,14098.630428314209
1770217159.6736739,14188.424110412598
1770217159.7636845,14278.434753417969
1770217159.8641253,14378.875494003296
1770217159.9539084,14468.658685684204
1770217160.0434568,14558.207035064697
1770217160.1337936,14648.54383468628
1770217160.2334805,14748.230695724487
